"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"1",900,1945,1929,2205,1619,1518,2056,1225,1548,1329,1637,1642,1651,948,997,1516,1419,1885,995,1688,2150,1398,1646,1437,1248,1824,1937,1634,1492,2084,1362,1.79769313486232e+308
"2",1376,240,320,530,10,-69,447,-359,-139,-258,142,645,815,25,-161,629,311,723,90,858,1161,-45,191,-17,-141,344,449,299,49,680,-81,1376
"3",1536,539,68,292,-93,-127,389,-132,121,-257,246,749,920,129,-57,733,415,827,194,1013,1265,142,468,217,126,448,553,124,236,784,52,1536
"4",1644,586,140,227,-46,-80,435,-86,167,-211,253,756,926,136,-50,740,422,834,201,1020,1272,149,491,224,128,455,590,70,243,791,54,1644
"5",1484,487,169,380,-191,-199,336,-185,68,-310,193,696,867,77,-109,681,362,774,141,960,1212,90,416,165,74,395,500,98,183,732,0,1484
"6",1526,529,318,528,-42,-347,345,-151,111,-283,236,739,909,119,-67,723,405,817,184,1002,1255,132,458,207,116,438,543,148,226,774,42,1526
"7",1439,443,235,446,-67,-256,259,-229,24,-369,149,652,823,33,-153,636,318,730,97,916,1168,46,372,121,30,351,456,123,139,688,-44,1439
"8",1366,319,358,569,49,-92,485,-443,-101,-281,163,666,837,46,-177,650,332,744,111,847,1182,-55,181,-27,-151,365,470,297,39,701,-91,1366
"9",1444,326,366,577,57,-22,494,-291,-225,-211,188,691,862,72,-114,676,358,770,136,926,1208,23,259,51,-72,390,496,346,117,727,-13,1444
"10",1369,459,261,472,-48,-148,388,-309,41,-447,166,669,839,49,-137,653,335,747,114,933,1185,62,315,106,-17,368,473,240,156,704,-28,1369
"11",1419,480,425,622,116,36,552,-200,83,-186,-86,498,669,-121,-307,483,164,576,-57,762,1014,-150,265,-65,-97,197,332,180,-56,534,-285,1419
"12",1203,829,684,903,375,295,811,129,411,73,316,139,473,-414,-465,283,-28,448,-253,469,818,117,493,6,16,432,540,462,138,647,113,1203
"13",1292,803,657,877,348,269,785,103,384,46,289,317,187,-302,-403,194,-44,422,-321,498,686,91,484,8,78,406,514,435,112,620,87,1292
"14",1118,762,700,919,391,312,827,82,365,89,332,195,444,-497,-449,200,-11,464,-312,384,834,133,462,22,-27,448,556,478,155,663,129,1118
"15",1319,709,664,883,355,276,791,29,312,53,296,375,546,-244,-646,359,41,418,-180,639,891,28,334,-153,-41,413,520,442,49,627,94,1319
"16",1172,819,751,970,442,363,878,140,422,140,383,309,352,-384,-375,73,49,515,-404,377,776,184,520,102,30,499,607,529,206,714,180,1172
"17",1269,773,627,846,318,239,754,72,354,16,259,288,435,-332,-433,294,-140,391,-220,552,772,60,453,-22,48,375,483,405,82,590,57,1269
"18",1248,705,560,779,250,171,687,5,287,-51,192,303,474,-316,-528,288,-30,284,-252,567,819,-7,386,-90,-47,308,416,337,14,523,-11,1248
"19",1138,877,788,1008,479,400,916,197,480,177,421,367,318,-327,-323,148,87,553,-483,434,820,222,577,139,87,537,645,566,243,751,218,1138
"20",1138,791,786,1005,477,398,913,112,395,175,418,281,414,-412,-363,170,75,551,-342,295,873,220,492,108,2,534,642,564,241,749,216,1138
"21",1255,936,790,1009,481,402,917,236,517,179,422,451,333,-168,-270,340,102,555,-268,611,616,224,616,141,211,539,646,568,245,753,220,1255
"22",1421,473,509,708,199,120,636,-207,76,-103,141,466,637,-153,-340,450,132,544,-89,730,982,-295,140,-210,-95,239,374,267,-201,502,-135,1421
"23",1436,529,591,813,282,201,719,-150,133,3,246,581,752,-38,-224,566,248,660,26,845,1098,-179,-24,-101,-81,344,479,372,-92,617,-30,1436
"24",1395,532,579,798,270,191,706,-147,136,-32,211,451,622,-169,-383,435,117,529,-104,715,967,-145,157,-332,-132,327,435,357,-124,542,-37,1395
"25",1264,442,505,702,195,114,632,-237,46,-106,134,522,711,-171,-373,467,250,627,-45,651,1100,-105,143,-97,-347,321,434,261,-11,689,-141,1264
"26",1633,684,599,818,290,211,726,4,287,-12,231,675,846,56,-130,660,342,753,120,939,1191,31,429,116,116,-44,347,377,125,711,-37,1633
"27",1570,622,546,646,206,84,675,-58,225,-74,169,613,784,-6,-192,597,279,691,58,877,1129,-31,367,53,54,187,68,204,62,649,-99,1570
"28",1463,516,370,581,61,-18,498,-184,98,-241,71,574,745,-45,-231,559,241,653,19,838,1091,-32,310,43,-53,273,409,-111,62,610,-127,1463
"29",1473,524,560,759,251,172,687,-156,127,-51,192,511,682,-108,-294,495,177,589,-44,775,1027,-244,149,-228,-44,290,425,318,-250,547,-83,1473
"30",1370,604,459,678,149,70,586,-96,186,-152,91,425,596,-194,-380,410,92,504,-130,689,942,-44,370,-106,42,207,315,237,-2,348,-112,1370
"31",1390,452,396,593,87,8,523,-228,55,-215,-35,559,730,-60,-246,543,225,637,4,823,1075,-199,199,-115,-126,258,325,152,-106,595,-335,1390
"32",300,1345,1329,1605,1019,918,1456,625,948,729,1037,1042,1051,348,397,916,819,1285,395,1088,1550,798,1046,837,648,1224,1337,1034,892,1484,762,300
