30.0,1221.0,808.0,274.0,665.0,657.0,397.0,262.0,359.0,317.0,1602.0,641.0,1010.0,176.0,553.0,638.0,757.0,1198.0,994.0,1003.0,301.0,
1221.0,30.0,591.0,1297.0,1059.0,983.0,934.0,1003.0,946.0,1220.0,416.0,778.0,280.0,1187.0,1155.0,977.0,634.0,55.0,279.0,635.0,950.0,
808.0,591.0,30.0,971.0,968.0,899.0,451.0,577.0,658.0,929.0,962.0,687.0,524.0,724.0,988.0,882.0,83.0,576.0,350.0,257.0,561.0,
274.0,1297.0,971.0,30.0,516.0,535.0,598.0,444.0,382.0,131.0,1662.0,608.0,1063.0,420.0,374.0,521.0,925.0,1273.0,1096.0,1184.0,441.0,
665.0,1059.0,968.0,516.0,30.0,107.0,777.0,659.0,423.0,418.0,1366.0,329.0,810.0,773.0,182.0,118.0,942.0,1035.0,935.0,1194.0,594.0,
657.0,983.0,899.0,535.0,107.0,30.0,731.0,623.0,384.0,435.0,1294.0,253.0,733.0,753.0,230.0,51.0,875.0,959.0,859.0,1124.0,554.0,
397.0,934.0,451.0,598.0,777.0,731.0,30.0,184.0,386.0,585.0,1320.0,593.0,766.0,303.0,732.0,711.0,398.0,913.0,689.0,637.0,219.0,
262.0,1003.0,577.0,444.0,659.0,623.0,184.0,30.0,270.0,432.0,1387.0,526.0,806.0,221.0,596.0,602.0,527.0,980.0,769.0,778.0,108.0,
359.0,946.0,658.0,382.0,423.0,384.0,386.0,270.0,30.0,313.0,1314.0,313.0,714.0,416.0,382.0,363.0,619.0,922.0,746.0,882.0,201.0,
317.0,1220.0,929.0,131.0,418.0,435.0,585.0,432.0,313.0,30.0,1578.0,513.0,981.0,455.0,281.0,420.0,886.0,1195.0,1028.0,1149.0,410.0,
1602.0,416.0,962.0,1662.0,1366.0,1294.0,1320.0,1387.0,1314.0,1578.0,30.0,1112.0,629.0,1573.0,1482.0,1292.0,1009.0,438.0,663.0,955.0,1332.0,
641.0,778.0,687.0,608.0,329.0,253.0,593.0,526.0,313.0,513.0,1112.0,30.0,528.0,695.0,407.0,240.0,668.0,753.0,638.0,908.0,448.0,
1010.0,280.0,524.0,1063.0,810.0,733.0,766.0,806.0,714.0,981.0,629.0,528.0,30.0,996.0,905.0,727.0,549.0,256.0,244.0,658.0,744.0,
176.0,1187.0,724.0,420.0,773.0,753.0,303.0,221.0,416.0,455.0,1573.0,695.0,996.0,30.0,676.0,733.0,671.0,1165.0,949.0,902.0,292.0,
553.0,1155.0,988.0,374.0,182.0,230.0,732.0,596.0,382.0,281.0,1482.0,407.0,905.0,676.0,30.0,226.0,955.0,1130.0,1005.0,1215.0,543.0,
638.0,977.0,882.0,521.0,118.0,51.0,711.0,602.0,363.0,420.0,1292.0,240.0,727.0,733.0,226.0,30.0,858.0,952.0,848.0,1107.0,533.0,
757.0,634.0,83.0,925.0,942.0,875.0,398.0,527.0,619.0,886.0,1009.0,668.0,549.0,671.0,955.0,858.0,30.0,618.0,389.0,293.0,514.0,
1198.0,55.0,576.0,1273.0,1035.0,959.0,913.0,980.0,922.0,1195.0,438.0,753.0,256.0,1165.0,1130.0,952.0,618.0,30.0,261.0,628.0,927.0,
994.0,279.0,350.0,1096.0,935.0,859.0,689.0,769.0,746.0,1028.0,663.0,638.0,244.0,949.0,1005.0,848.0,389.0,261.0,30.0,448.0,723.0,
1003.0,635.0,257.0,1184.0,1194.0,1124.0,637.0,778.0,882.0,1149.0,955.0,908.0,658.0,902.0,1215.0,1107.0,293.0,628.0,448.0,30.0,774.0,
301.0,950.0,561.0,441.0,594.0,554.0,219.0,108.0,201.0,410.0,1332.0,448.0,744.0,292.0,543.0,533.0,514.0,927.0,723.0,774.0,30.0,
