_20_1,4,9813.0,19413.0
_20_2,4,8841.0,18441.0
_20_3,4,7307.0,16907.0
_20_4,4,9021.0,18621.0
_20_5,4,8750.0,18350.0
_20_6,4,9220.0,18820.0
_20_7,3,6604.0,15304.0
_20_8,3,8050.0,16750.0
_20_9,4,8447.0,18047.0
_20_10,4,7818.0,17418.0
_30_1,5,10536.0,24036.0
_30_2,5,10834.0,24334.0
_30_3,6,12619.0,27019.0
_30_4,6,12045.0,26445.0
_30_5,5,11819.0,25319.0
_30_6,5,11217.0,24717.0
_30_7,5,12096.0,25596.0
_30_8,6,12331.0,26731.0
_30_9,5,11428.0,24928.0
_30_10,5,12024.0,25524.0
_40_1,7,16692.0,34992.0
_40_2,7,16481.0,34781.0
_40_3,7,15085.0,33385.0
_40_4,7,16573.0,34873.0
_40_5,7,15321.0,33621.0
_40_6,7,16229.0,34529.0
_40_7,7,17175.0,35475.0
_40_8,6,14616.0,32016.0
_40_9,7,15289.0,33589.0
_40_10,7,15996.0,34296.0
_50_1,8,16975.0,39175.0
_50_2,8,16686.0,38886.0
_50_3,8,17735.0,39935.0
_50_4,8,19289.0,41489.0
_50_5,8,17302.0,39502.0
_50_6,8,17069.0,39269.0
_50_7,9,19107.0,42207.0
_50_8,9,17561.0,40661.0
_50_9,8,15627.0,37827.0
_50_10,8,18422.0,40622.0
_60_1,10,21614.0,48614.0
_60_2,10,23564.0,50564.0
_60_3,8,18078.0,43278.0
_60_4,9,19391.0,45491.0
_60_5,9,20826.0,46926.0
_60_6,9,22381.0,48481.0
_60_7,9,19759.0,45859.0
_60_8,10,22530.0,49530.0
_60_9,10,21170.0,48170.0
_60_10,10,20952.0,47952.0
_70_1,11,25395.0,56295.0
_70_2,11,23754.0,54654.0
_70_3,11,22760.0,53660.0
_70_4,10,21661.0,51661.0
_70_5,10,21613.0,51613.0
_70_6,11,23138.0,54038.0
_70_7,11,24264.0,55164.0
_70_8,11,24911.0,55811.0
_70_9,12,24735.0,56535.0
_70_10,11,24507.0,55407.0
_80_1,12,28116.0,62916.0
_80_2,13,28644.0,64344.0
_80_3,12,24036.0,58836.0
_80_4,13,24526.0,60226.0
_80_5,12,26154.0,60954.0
_80_6,13,27858.0,63558.0
_80_7,12,26721.0,61521.0
_80_8,13,30698.0,66398.0
_80_9,13,28275.0,63975.0
_80_10,12,24317.0,59117.0
_90_1,14,28624.0,68224.0
_90_2,14,30328.0,69928.0
_90_3,13,28688.0,67388.0
_90_4,14,29188.0,68788.0
_90_5,13,27563.0,66263.0
_90_6,13,29163.0,67863.0
_90_7,14,32113.0,71713.0
_90_8,14,28408.0,68008.0
_90_9,14,28288.0,67888.0
_90_10,13,25416.0,64116.0
